Day,Time,Student,Activity
5,13:00:17,A082,Viewed Week 1 lecture slides
5,13:00:19,A064,Viewed Week 1 study materials in Estonian
5,13:00:22,A064,Viewed Week 1 lecture slides
5,13:00:46,A011,Viewed Week 1 lecture slides
5,13:00:52,A086,Viewed Week 1 lecture slides
5,13:01:06,A045,Viewed Week 1 lecture slides
5,13:01:09,A045,Viewed Week 1 lecture slides
5,13:02:44,A015,Viewed Week 1 lecture slides
5,13:04:45,A041,Viewed Week 1 lecture slides
5,13:06:25,A077,Joined Week 1 lecture online
5,13:12:17,A070,Viewed Week 1 study materials in English
5,13:18:18,A050,Viewed Week 1 lecture slides
5,13:20:10,A011,Joined Week 1 lecture online
5,13:23:57,A027,Viewed Week 1 lecture slides
5,13:36:56,A103,Joined Week 1 lecture online
5,13:39:38,A029,Viewed Week 1 lecture slides
5,13:39:41,A023,Viewed Week 1 lecture slides
5,13:44:27,A067,Read a post in the announcements forum
5,13:45:01,A064,Viewed Week 1 study materials in Estonian
5,13:45:01,A067,Viewed Week 1 lecture slides
5,13:48:23,A011,Viewed Week 1 lecture slides
5,13:53:34,A039,Read a post in the announcements forum
5,13:55:43,A075,Practiced submitting the homework in Estonian
5,13:55:58,A075,Viewed the course information page
5,14:01:50,A047,Joined Week 1 lecture online
5,15:30:02,A074,Watched Week 1 lecture recording
5,15:31:58,A055,Viewed the course information page
5,17:06:52,A094,Viewed Week 1 lecture slides
5,17:07:03,A094,Viewed Week 1 study materials in English
5,18:05:35,A067,Watched Week 1 lecture recording
5,18:06:29,A067,Watched Week 1 lecture recording
5,19:37:55,A035,Read a post in the announcements forum
5,21:58:51,A099,Watched Week 1 lecture recording
6,01:47:59,A102,Viewed Week 1 lecture slides
6,09:34:31,A008,Read a post in the announcements forum
6,10:58:00,A030,Viewed Week 1 study materials in Estonian
6,10:58:02,A030,Viewed Week 1 study materials in English
6,13:59:50,A026,Viewed the course information page
6,15:24:11,A048,Watched Week 1 lecture recording
6,19:44:09,A052,Viewed the course information page
6,19:44:47,A052,Read a post in the announcements forum
6,19:45:06,A052,Watched Week 1 lecture recording
6,19:48:09,A035,Viewed the course information page
6,20:20:21,A009,Watched Week 1 lecture recording
7,12:05:25,A040,Read a post in the announcements forum
7,12:05:43,A040,Read a post in the announcements forum
7,12:06:42,A040,Read a post in the announcements forum
7,12:07:31,A040,Viewed Week 1 lecture slides
7,12:36:09,A080,Watched Week 1 lecture recording
7,12:36:18,A067,Viewed Week 1 study materials in Estonian
7,12:37:09,A067,Viewed Week 1 study materials in Estonian
7,12:37:17,A067,Watched Week 1 lecture recording
7,12:40:34,A034,Viewed the course information page
7,12:41:33,A034,Viewed the course information page
7,12:43:39,A034,Read a post in the announcements forum
7,12:43:51,A034,Read a post in the announcements forum
7,15:00:04,A009,Viewed Week 1 lecture slides
7,15:00:05,A009,Viewed Week 1 study materials in Estonian
7,19:32:53,A027,Viewed the dictionary of terms
7,20:10:19,A082,Viewed the dictionary of terms
7,20:12:37,A082,Viewed Week 1 study materials in Estonian
7,20:51:14,A019,Viewed the course information page
7,20:52:01,A019,Viewed the course information page
7,20:56:55,A101,Watched past years' Week 1 lecture recording
7,21:38:41,A040,Viewed Week 1 lecture slides
7,22:52:19,A072,Read a post in the announcements forum
7,23:11:53,A027,Viewed Week 1 study materials in English
7,23:18:54,A072,Viewed Week 1 study materials in Estonian
7,23:37:09,A031,Viewed Week 1 study materials in Estonian
7,23:37:25,A031,Viewed Week 1 lecture slides
7,23:37:42,A096,Viewed Week 1 study materials in Estonian
8,00:05:23,A034,Viewed Week 1 study materials in English
8,00:05:32,A034,Viewed Week 1 lecture slides
8,01:00:11,A052,Watched Week 1 lecture recording
8,03:34:13,A052,Viewed Week 1 lecture slides
8,03:34:16,A052,Viewed Week 1 study materials in Estonian
8,03:56:19,A056,Viewed Week 1 study materials in English
8,09:29:11,A063,Watched Week 1 lecture recording
8,09:37:00,A069,Viewed the course information page
8,09:39:09,A069,Viewed the course information page
8,09:44:58,A063,Viewed Week 1 study materials in Estonian
8,10:04:01,A064,Read a post in the announcements forum
8,10:04:07,A064,Read a post in the announcements forum
8,10:04:08,A064,Read a post in the announcements forum
8,10:04:14,A064,Viewed the course information page
8,10:05:29,A064,Viewed Week 1 study materials in Estonian
8,10:06:19,A018,Viewed Week 1 study materials in Estonian
8,10:14:34,A100,Viewed the course information page
8,10:16:53,A031,Viewed Week 1 study materials in Estonian
8,10:18:02,A024,Viewed Week 1 study materials in Estonian
8,10:20:13,A001,Viewed Week 1 study materials in Estonian
8,10:24:05,A050,Viewed Week 1 study materials in Estonian
8,10:24:59,A041,Viewed Week 1 study materials in Estonian
8,10:27:32,A051,Viewed Week 1 study materials in Estonian
8,10:28:13,A096,Viewed Week 1 study materials in English
8,10:28:45,A096,Viewed Week 1 study materials in Estonian
8,10:29:19,A095,Viewed Week 1 lecture slides
8,10:33:09,A095,Viewed Week 1 study materials in Estonian
8,10:50:09,A006,Viewed Week 1 study materials in English
8,10:50:16,A006,Viewed Week 1 study materials in Estonian
8,11:02:20,A032,Viewed Week 1 study materials in English
8,11:03:48,A056,Viewed Week 1 study materials in English
8,11:12:38,A065,Viewed the course information page
8,11:14:00,A065,Viewed the course information page
8,11:15:26,A065,Viewed Week 1 study materials in Estonian
8,11:20:42,A037,Watched Week 1 lecture recording
8,11:21:12,A037,Viewed the course information page
8,11:23:32,A019,Viewed Week 1 study materials in Estonian
8,11:27:13,A028,Viewed Week 1 study materials in Estonian
8,11:33:20,A024,Viewed the course information page
8,11:37:39,A013,Read a post in the announcements forum
8,11:37:48,A013,Read a post in the announcements forum
8,11:38:01,A013,Viewed the course information page
8,11:42:37,A065,Viewed the course information page
8,11:56:07,A060,Viewed the course information page
8,12:01:42,A006,Read a post in the announcements forum
8,12:01:56,A006,Read a post in the announcements forum
8,12:02:19,A061,Viewed the course information page
8,12:02:23,A014,Watched Week 1 lecture recording
8,12:04:52,A082,Viewed Week 1 study materials in English
8,12:11:14,A003,Watched Week 1 lecture recording
8,12:12:09,A027,Viewed Week 1 study materials in English
8,12:16:58,A017,Viewed Week 1 study materials in English
8,12:17:32,A017,Viewed the course information page
8,12:17:50,A017,Viewed Week 1 lecture slides
8,12:17:57,A017,Viewed Week 1 study materials in English
8,12:18:28,A054,Viewed Week 1 study materials in English
8,12:20:33,A085,Viewed Week 1 study materials in English
8,12:21:08,A017,Viewed Week 1 study materials in English
8,12:45:07,A030,Viewed Week 1 study materials in Estonian
8,12:45:26,A030,Viewed Week 1 study materials in English
8,12:45:37,A030,Viewed Week 1 study materials in English
8,12:50:31,A094,Viewed Week 1 lecture slides
8,12:50:43,A094,Viewed Week 1 study materials in Estonian
8,12:57:11,A027,Viewed Week 1 lecture slides
8,13:01:20,A075,Viewed the course information page
8,13:28:57,A054,Viewed Week 1 study materials in Estonian
8,13:32:05,A035,Viewed the course information page
8,13:34:42,A035,Viewed the dictionary of terms
8,13:35:05,A094,Watched past years' Week 1 lecture recording
8,13:35:15,A035,Viewed Week 1 study materials in Estonian
8,13:42:09,A093,Viewed Week 1 lecture slides
8,13:44:28,A034,Viewed Week 1 study materials in Estonian
8,13:48:35,A003,Viewed Week 1 study materials in Estonian
8,13:49:42,A024,Viewed the course information page
8,13:50:16,A030,Viewed Week 1 study materials in English
8,13:56:43,A094,Viewed Week 1 study materials in Estonian
8,14:04:14,A094,Viewed Week 1 study materials in Estonian
8,14:06:09,A024,Viewed Week 1 study materials in Estonian
8,14:06:23,A030,Viewed Week 1 study materials in English
8,14:11:55,A029,Viewed Week 1 study materials in Estonian
8,14:12:40,A014,Viewed Week 1 study materials in Estonian
8,14:14:27,A046,Viewed the dictionary of terms
8,14:15:02,A046,Viewed the course information page
8,14:16:26,A070,Viewed Week 1 study materials in Estonian
8,14:25:45,A091,Viewed Week 1 study materials in Estonian
8,14:26:20,A103,Viewed Week 1 lecture slides
8,14:33:25,A104,Read a post in the announcements forum
8,14:33:28,A104,Read a post in the announcements forum
8,14:58:00,A097,Practiced submitting the homework in Estonian
8,15:24:35,A094,Read a post in the announcements forum
8,15:24:41,A094,Read a post in the announcements forum
8,16:57:23,A030,Viewed Week 1 study materials in Estonian
8,16:58:09,A073,Viewed Week 1 lecture slides
8,16:59:37,A030,Viewed Week 1 study materials in English
8,17:01:44,A080,Viewed Week 1 study materials in English
8,17:35:05,A037,Viewed Week 1 lecture slides
8,17:35:18,A037,Viewed Week 1 study materials in Estonian
8,17:37:04,A025,Read a post in the announcements forum
8,17:38:46,A025,Viewed Week 1 lecture slides
8,17:39:13,A025,Viewed the course information page
8,17:40:17,A025,Viewed Week 1 study materials in Estonian
8,17:41:39,A025,Viewed the course information page
8,18:09:24,A035,Watched Week 1 lecture recording
8,18:14:59,A037,Viewed Week 1 lecture slides
8,19:34:37,A052,Viewed the dictionary of terms
8,20:29:43,A057,Viewed Week 1 lecture slides
8,20:29:49,A057,Watched Week 1 lecture recording
8,20:33:06,A033,Read a post in the announcements forum
8,20:33:17,A033,Read a post in the announcements forum
8,20:44:21,A105,Read a post in the announcements forum
8,20:44:36,A105,Read a post in the announcements forum
8,20:45:12,A105,Watched past years' Week 1 lecture recording
8,20:49:21,A105,Viewed Week 1 study materials in Estonian
8,20:49:55,A045,Viewed Week 1 study materials in Estonian
8,20:52:15,A105,Watched Week 1 lecture recording
8,20:58:15,A089,Watched Week 1 lecture recording
8,20:59:54,A097,Viewed Week 1 lecture slides
8,21:00:55,A097,Watched past years' Week 1 lecture recording
8,21:11:52,A097,Watched Week 1 lecture recording
8,21:13:16,A105,Viewed Week 1 study materials in Estonian
8,21:45:16,A049,Viewed Week 1 study materials in Estonian
8,21:55:32,A025,Watched Week 1 lecture recording
8,23:56:49,A098,Viewed Week 1 study materials in Estonian
9,02:10:44,A039,Viewed the course information page
9,08:52:12,A081,Read a post in the announcements forum
9,08:52:44,A081,Viewed Week 1 lecture slides
9,08:53:28,A081,Read a post in the announcements forum
9,09:05:09,A047,Read a post in the announcements forum
9,09:07:11,A047,Watched Week 1 lecture recording
9,09:07:46,A047,Viewed Week 1 study materials in Estonian
9,09:10:50,A061,Read a post in the announcements forum
9,09:11:09,A061,Read a post in the announcements forum
9,09:11:47,A061,Viewed Week 1 study materials in English
9,09:22:13,A037,Viewed Week 1 lecture slides
9,09:33:43,A040,Viewed Week 1 study materials in English
9,09:43:35,A040,Viewed Week 1 lecture slides
9,09:44:52,A040,Viewed Week 1 study materials in English
9,09:45:52,A040,Viewed Week 1 study materials in Estonian
9,09:48:29,A021,Viewed Week 1 study materials in English
9,10:06:34,A026,Viewed the course information page
9,10:09:11,A026,Viewed Week 1 lecture slides
9,10:10:25,A026,Viewed the dictionary of terms
9,10:12:33,A026,Viewed Week 1 study materials in Estonian
9,10:13:33,A023,Viewed Week 1 study materials in Estonian
9,10:13:43,A015,Viewed Week 1 study materials in Estonian
9,10:15:04,A049,Viewed Week 1 study materials in Estonian
9,10:16:56,A004,Viewed Week 1 lecture slides
9,10:17:08,A037,Viewed Week 1 study materials in Estonian
9,10:20:42,A039,Viewed Week 1 study materials in Estonian
9,10:31:01,A015,Viewed Week 1 study materials in English
9,10:33:15,A044,Viewed Week 1 study materials in Estonian
9,10:36:25,A004,Viewed Week 1 study materials in Estonian
9,10:55:14,A040,Viewed Week 1 study materials in English
9,11:00:54,A004,Viewed Week 1 lecture slides
9,11:01:32,A047,Viewed Week 1 study materials in English
9,11:20:51,A014,Viewed the course information page
9,11:40:52,A106,Read a post in the announcements forum
9,12:38:33,A061,Viewed Week 1 study materials in English
9,12:38:37,A104,Viewed Week 1 lecture slides
9,12:39:47,A104,Viewed Week 1 study materials in Estonian
9,13:09:48,A015,Viewed Week 1 study materials in Estonian
9,13:26:28,A040,Viewed Week 1 lecture slides
9,14:03:28,A019,Viewed the course information page
9,14:03:47,A019,Viewed Week 1 lecture slides
9,14:06:26,A019,Viewed Week 1 study materials in Estonian
9,15:21:51,A005,Viewed Week 1 study materials in Estonian
9,18:43:09,A030,Viewed the course information page
9,19:21:39,A080,Viewed the course information page
10,06:53:28,A090,Read a post in the announcements forum
10,06:53:54,A090,Read a post in the announcements forum
10,06:54:10,A090,Viewed the course information page
10,06:56:55,A090,Viewed Week 1 lecture slides
10,07:06:24,A090,Viewed Week 1 study materials in English
10,13:31:01,A040,Viewed Week 1 study materials in Estonian
10,16:55:08,A072,Practiced submitting the homework in Estonian
10,17:13:04,A040,Viewed Week 1 lecture slides
10,18:15:06,A080,Read a post in the announcements forum
10,18:15:17,A080,Viewed the course information page
10,20:06:53,A040,Viewed Week 1 study materials in Estonian
10,20:49:32,A045,Viewed Week 1 study materials in Estonian
11,10:25:00,A019,Read a post in the announcements forum
11,10:30:12,A019,Watched past years' Week 1 lecture recording
11,11:18:23,A074,Viewed the course information page
11,13:07:16,A075,Viewed the course information page
11,13:07:18,A075,Viewed the course information page
11,14:35:48,A040,Viewed Week 1 lecture slides
11,16:08:31,A025,Viewed Week 1 study materials in Estonian
11,16:39:44,A028,Read a post in the announcements forum
11,19:24:04,A073,Viewed the course information page
11,21:10:25,A024,Viewed the course information page
11,21:36:35,A045,Watched past years' Week 1 lecture recording
12,01:16:33,A092,Watched Week 1 lecture recording
12,04:22:19,A075,Watched Week 1 lecture recording
12,10:23:54,A003,Viewed Week 1 study materials in Estonian
12,10:26:10,A093,Viewed the course information page
12,10:26:12,A093,Viewed the course information page
12,10:26:15,A093,Viewed Week 1 lecture slides
12,10:26:18,A093,Viewed Week 2 lecture slides
12,10:34:27,A093,Viewed the course information page
12,10:34:32,A093,Viewed Week 1 study materials in English
12,10:46:41,A019,Viewed Week 2 lecture slides
12,10:46:53,A019,Watched past years' Week 2 lecture recording
12,10:56:09,A015,Viewed Week 2 lecture slides
12,11:03:03,A029,Viewed Week 2 lecture slides
12,11:23:32,A054,Viewed Week 2 lecture slides
12,11:41:35,A082,Viewed Week 2 lecture slides
12,11:41:51,A082,Viewed Week 2 study materials in Estonian
12,11:47:53,A061,Viewed Week 2 study materials in English
12,11:47:58,A061,Viewed Week 2 study materials in Estonian
12,11:49:12,A072,Viewed Week 2 lecture slides
12,11:50:43,A072,Viewed Week 2 study materials in Estonian
12,11:51:05,A058,Read a post in the announcements forum
12,11:51:24,A058,Viewed Week 1 study materials in Estonian
12,11:54:54,A101,Viewed the course information page
12,11:55:01,A001,Viewed Week 2 study materials in Estonian
12,12:01:33,A015,Viewed Week 2 lecture slides
12,12:02:30,A069,Joined Week 2 lecture oneline
12,12:02:58,A027,Viewed Week 2 lecture slides
12,12:03:20,A015,Viewed Week 2 study materials in English
12,12:03:24,A015,Viewed Week 2 study materials in English
12,12:03:27,A015,Viewed Week 2 study materials in Estonian
12,12:04:22,A011,Viewed Week 2 lecture slides
12,12:04:25,A027,Joined Week 2 lecture oneline
12,12:04:52,A027,Viewed Week 2 lecture slides
12,12:06:50,A072,Viewed Week 2 lecture slides
12,12:06:57,A045,Watched Week 1 lecture recording
12,12:07:26,A072,Viewed Week 2 study materials in Estonian
12,12:07:48,A088,Viewed Week 1 study materials in English
12,12:09:18,A082,Joined Week 2 lecture oneline
12,12:09:18,A072,Joined Week 2 lecture oneline
12,12:09:23,A088,Joined Week 2 lecture oneline
12,12:09:31,A027,Joined Week 2 lecture oneline
12,12:09:34,A070,Viewed Week 2 study materials in Estonian
12,12:09:36,A070,Viewed Week 2 lecture slides
12,12:09:48,A038,Viewed Week 2 lecture slides
12,12:10:12,A027,Joined Week 2 lecture oneline
12,12:10:25,A082,Viewed Week 2 lecture slides
12,12:11:08,A024,Joined Week 2 lecture oneline
12,12:11:16,A003,Joined Week 2 lecture oneline
12,12:11:17,A001,Joined Week 2 lecture oneline
12,12:11:27,A046,Joined Week 2 lecture oneline
12,12:11:47,A043,Joined Week 2 lecture oneline
12,12:11:51,A006,Viewed Week 2 lecture slides
12,12:12:15,A027,Joined Week 2 lecture oneline
12,12:12:54,A027,Joined Week 2 lecture oneline
12,12:13:06,A084,Joined Week 2 lecture oneline
12,12:13:15,A068,Joined Week 2 lecture oneline
12,12:13:15,A032,Joined Week 2 lecture oneline
12,12:13:25,A102,Joined Week 2 lecture oneline
12,12:13:45,A031,Viewed Week 2 lecture slides
